nodenumber     x-coordinate     y-coordinate     z-coordinate
       178   -3.6054344100E-02   -3.2541861966E-02    3.2780750315E-02
       179   -3.6052661382E-02   -3.2571037423E-02    4.1911719688E-02
       180   -3.6031288466E-02   -2.4976319264E-02    3.9348334131E-02
       181   -3.6028269067E-02   -2.7036623917E-02    3.3676818175E-02
       182   -3.6022526364E-02   -3.4385297029E-02    3.7168378551E-02
       183   -3.6020537457E-02   -2.9079871856E-02    3.1876802854E-02
       184   -3.6010667078E-02   -3.0881449507E-02    4.3392560836E-02
       185   -3.6009131825E-02   -9.8557265460E-03    1.3171969068E-01
       186   -3.6002215474E-02   -3.4068140538E-02    3.4787316222E-02
       187   -3.5990181480E-02   -1.9601941604E-02    1.1958416069E-01
       188   -3.5981506662E-02   -2.5099030657E-02    3.6975245531E-02
       189   -3.5980792982E-02   -3.4030067012E-02    3.4391636340E-02
       190   -3.5976961813E-02   -2.7087556757E-02    3.3174808094E-02
       191   -3.5972564384E-02   -1.1651726318E-02    1.3287659720E-01
       192   -3.5963512978E-02   -1.6415426806E-02    1.3341427974E-01
       193   -3.5960391251E-02   -3.0089166001E-02    3.1080820591E-02
       194   -3.5958933251E-02   -1.4953242613E-02    1.3325347839E-01
       195   -3.5957060727E-02   -2.2548322627E-02    1.2667536215E-01
       196   -3.5936273695E-02   -3.2232282846E-02    3.1503270953E-02
       197   -3.5935656705E-02   -2.6178234048E-02    3.4131674301E-02
       198   -3.5921333557E-02   -2.4765338929E-02    4.0901333367E-02
       199   -3.5882778373E-02   -2.9790281591E-02    4.4403775693E-02
       200   -3.5879822014E-02   -2.4576478522E-02    3.7451970210E-02
       201   -3.5869992409E-02   -2.2255448749E-02    1.3185765169E-01
       202   -3.5866824285E-02   -3.3996835071E-02    4.1114742865E-02
       203   -3.5862326146E-02   -3.4774402638E-02    3.9021739986E-02
       204   -3.5862000216E-02   -3.2750975098E-02    4.2839007578E-02
       205   -3.5859788256E-02   -3.1428986984E-02    4.3879290687E-02
       206   -3.5856114175E-02   -3.3959872752E-02    4.1259121961E-02
       207   -3.5853224657E-02   -3.4658012108E-02    3.4618404040E-02
       208   -3.5850130804E-02   -2.2323869817E-02    1.2356266288E-01
       209   -3.5839053245E-02   -2.6070607730E-02    4.3667982423E-02
       210   -3.5836469476E-02   -3.3929556267E-02    3.2643737305E-02
       211   -3.5835744308E-02   -3.1057093504E-02    3.0089936135E-02
       212   -3.5829880789E-02   -3.4616064899E-02    4.0002476742E-02
       213   -3.5829686304E-02   -3.3182811567E-02    4.2551239257E-02
       214   -3.5829277656E-02   -2.2360770435E-02    1.3086077333E-01
       215   -3.5818111504E-02   -2.6890632370E-02    4.4347342100E-02
       216   -3.5815661018E-02   -3.4526915288E-02    3.3727560277E-02
