nodenumber     x-coordinate     y-coordinate     z-coordinate
       333    1.7365327900E-02   -1.7808993139E-01    1.1283775140E+00
       334    1.7366143685E-02   -1.7869736992E-01    1.1287731615E+00
       335    1.7367427292E-02   -1.7804202226E-01    1.1283267942E+00
       336    1.7370937131E-02   -1.7702698529E-01    1.1268667358E+00
       337    1.7373479427E-02   -1.8032404054E-01    1.1261235350E+00
       338    1.7375700323E-02   -1.7880307303E-01    1.1288175031E+00
       339    1.7376388795E-02   -1.7855201432E-01    1.1289383531E+00
       340    1.7377079715E-02   -1.7999598396E-01    1.1230780608E+00
       341    1.7377988706E-02   -1.7849276472E-01    1.1289315530E+00
       342    1.7378289997E-02   -1.7749863683E-01    1.1226765035E+00
       343    1.7378593253E-02   -1.7816793359E-01    1.1286539213E+00
       344    1.7382101937E-02   -1.7723418094E-01    1.1272566539E+00
       345    1.7382248763E-02   -1.7637541144E-01    1.1245146564E+00
       346    1.7384847140E-02   -1.7875526363E-01    1.1290066942E+00
       347    1.7385433597E-02   -1.7767205652E-01    1.1279117114E+00
       348    1.7385828274E-02   -1.7938872600E-01    1.1280917182E+00
       349    1.7391665367E-02   -1.7858450425E-01    1.1291695749E+00
       350    1.7392058274E-02   -1.8030754597E-01    1.1262250095E+00
       351    1.7392105617E-02   -1.7676244801E-01    1.1263061300E+00
       352    1.7392142819E-02   -1.7690073698E-01    1.1266733227E+00
       353    1.7393226241E-02   -1.7979862412E-01    1.1271610798E+00
       354    1.7393812440E-02   -1.7881222172E-01    1.1290845895E+00
       355    1.7396890229E-02   -1.7848771905E-01    1.1292431388E+00
       356    1.7397159005E-02   -1.7958088717E-01    1.1277293822E+00
       357    1.7398135957E-02   -1.7840156452E-01    1.1291894066E+00
       358    1.7401765809E-02   -1.7754997898E-01    1.1278311588E+00
       359    1.7401838715E-02   -1.7919066048E-01    1.1286230641E+00
       360    1.7402810538E-02   -1.7669996291E-01    1.1261758514E+00
       361    1.7403673317E-02   -1.7689236051E-01    1.1267030277E+00
       362    1.7404585171E-02   -1.7962018185E-01    1.1227759571E+00
       363    1.7406025305E-02   -1.7927556066E-01    1.1227598836E+00
       364    1.7406359399E-02   -1.7766159482E-01    1.1280412629E+00
       365    1.7406420467E-02   -1.7636094949E-01    1.1237864990E+00
       366    1.7406842427E-02   -1.7684785265E-01    1.1266075725E+00
       367    1.7408288409E-02   -1.7962919783E-01    1.1277041477E+00
       368    1.7408449682E-02   -1.7879162504E-01    1.1293047804E+00
       369    1.7411029606E-02   -1.7766170740E-01    1.1280732500E+00
       370    1.7412865974E-02   -1.7836959524E-01    1.1293852074E+00
       371    1.7413298776E-02   -1.7679038910E-01    1.1264936684E+00
       372    1.7413551368E-02   -1.7655969472E-01    1.1258291086E+00
       373    1.7414158632E-02   -1.7915850252E-01    1.1288194299E+00
       374    1.7415416769E-02   -1.8076152918E-01    1.1252038169E+00
       375    1.7416048840E-02   -1.7983298866E-01    1.1272380747E+00
       376    1.7418169035E-02   -1.7896663997E-01    1.1292247289E+00
       377    1.7422839001E-02   -1.7954043342E-01    1.1281066116E+00
       378    1.7422988785E-02   -1.8005018478E-01    1.1230298595E+00
       379    1.7423329964E-02   -1.7840009901E-01    1.1295409566E+00
       380    1.7426626429E-02   -1.7817436765E-01    1.1294131198E+00
       381    1.7427940383E-02   -1.7778973366E-01    1.1284997810E+00
       382    1.7429834399E-02   -1.8061429911E-01    1.1257778512E+00
       383    1.7431532585E-02   -1.7972765444E-01    1.1276507533E+00
       384    1.7432411449E-02   -1.7785636388E-01    1.1287289088E+00
       385    1.7432729186E-02   -1.7851358114E-01    1.1296988975E+00
       386    1.7433445054E-02   -1.7912458244E-01    1.1291239511E+00
       387    1.7437342979E-02   -1.7916159277E-01    1.1227531239E+00
       388    1.7437974166E-02   -1.7845973584E-01    1.1297498492E+00
       389    1.7439989988E-02   -1.7753112077E-01    1.1280512024E+00
       390    1.7445720533E-02   -1.7818149536E-01    1.1296748764E+00
       391    1.7446842976E-02   -1.7784044712E-01    1.1289279659E+00
       392    1.7447495929E-02   -1.8074337943E-01    1.1254527801E+00
       393    1.7449297485E-02   -1.7776287920E-01    1.1287027391E+00
       394    1.7451296631E-02   -1.7886804729E-01    1.1297905756E+00
       395    1.7452376170E-02   -1.7992457174E-01    1.1228231445E+00
       396    1.7454077500E-02   -1.7813655387E-01    1.1297347683E+00
       397    1.7454326980E-02   -1.7932867748E-01    1.1289066697E+00
       398    1.7455777172E-02   -1.7949301506E-01    1.1227677817E+00
       399    1.7456416805E-02   -1.7759511147E-01    1.1283351462E+00
       400    1.7458004080E-02   -1.7671271923E-01    1.1264673849E+00
       401    1.7458697432E-02   -1.7806599020E-01    1.1297228457E+00
       402    1.7459177454E-02   -1.7796675973E-01    1.1295891878E+00
       403    1.7459285685E-02   -1.7994690224E-01    1.1228378381E+00
       404    1.7461015859E-02   -1.7902777005E-01    1.1297279916E+00
       405    1.7461537298E-02   -1.7826801862E-01    1.1299187438E+00
       406    1.7467799033E-02   -1.7785583601E-01    1.1295008775E+00
       407    1.7468186354E-02   -1.7916037119E-01    1.1295765760E+00
       408    1.7469118758E-02   -1.7659473432E-01    1.1261823191E+00
