nodenumber     x-coordinate     y-coordinate     z-coordinate
       241   -1.1453304644E-02   -5.9514563066E-03    1.1776346309E-01
       242   -1.1451061348E-02   -3.3676071650E-03    1.2132396488E-01
       243   -1.1448511452E-02   -1.4661270057E-04    1.0858356302E-01
       244   -1.1402151816E-02   -6.1449342683E-03    1.1258716729E-01
       245   -1.1390089472E-02   -3.3821930452E-03    1.0793968778E-01
       246   -1.1372665395E-02   -3.1681667696E-03    1.0780608860E-01
       247   -1.1340603507E-02    4.5504393168E-04    1.1971007310E-01
       248   -1.1323711491E-02   -5.6457949231E-03    1.1848072411E-01
       249   -1.1283002555E-02   -2.6345184506E-03    1.2130172041E-01
       250   -1.1258067983E-02   -6.2150870651E-03    1.1276739906E-01
       251   -1.1235570221E-02   -5.3619363451E-03    1.0996439717E-01
       252   -1.1211111664E-02    1.4226978228E-03    1.1717236489E-01
       253   -1.1191007542E-02    1.6516432071E-03    1.1600844896E-01
       254   -1.1190812200E-02   -4.1855800058E-03    1.0824429951E-01
       255   -1.1179167090E-02   -2.5221417153E-03    1.0732664134E-01
       256   -1.1159718885E-02   -6.3083795887E-03    1.1343404642E-01
       257   -1.1111959423E-02    4.1172114026E-04    1.0879208820E-01
       258   -1.1087977009E-02    1.9382349963E-04    1.1971790911E-01
       259   -1.1084386592E-02    1.2995306870E-03    1.1065336595E-01
       260   -1.1014887870E-02   -5.2719795873E-03    1.0947272140E-01
       261   -1.0977968248E-02    7.8896005679E-04    1.0923990897E-01
       262   -1.0970434626E-02   -2.6426561013E-03    1.0704552765E-01
       263   -1.0892526217E-02   -5.6482153087E-03    1.1010770757E-01
       264   -1.0766488449E-02    1.7452150677E-03    1.1457481063E-01
       265   -1.0737410356E-02   -4.9186100179E-03    1.0846745263E-01
       266   -1.0666071325E-02   -3.7901390276E-03    1.0714543878E-01
       267   -1.0664198064E-02    7.9120258909E-04    1.1811948257E-01
       268   -1.0636331134E-02   -1.9193217305E-03    1.2039324475E-01
       269   -1.0605278847E-02   -3.3602976772E-03    1.0678830807E-01
       270   -1.0581779189E-02   -1.2561827765E-03    1.2015381084E-01
       271   -1.0578294263E-02    1.4196064428E-03    1.1035514720E-01
       272   -1.0563783683E-02   -6.3437161670E-03    1.1388938411E-01
       273   -1.0489260877E-02   -2.6415938944E-04    1.1935933813E-01
       274   -1.0456002305E-02   -5.0822459602E-04    1.1952514511E-01
       275   -1.0430804727E-02    1.7584171912E-03    1.1231390399E-01
       276   -1.0415016764E-02   -4.0275518327E-03    1.1944922078E-01
       277   -1.0352588456E-02    1.7574118377E-03    1.1375234932E-01
       278   -1.0331786308E-02   -3.2558310594E-04    1.0681674981E-01
       279   -1.0320911570E-02   -6.2187636090E-03    1.1492189827E-01
       280   -1.0298735026E-02   -1.1004822086E-03    1.1967201264E-01
       281   -1.0273351507E-02    1.7578781970E-03    1.1209925913E-01
       282   -1.0196768888E-02    1.4500809855E-03    1.1557011419E-01
       283   -1.0153352516E-02   -1.0106813836E-03    1.1941681275E-01
       284   -1.0149288393E-02   -7.6987461066E-04    1.0621559540E-01
       285   -1.0149078436E-02   -6.0298999459E-03    1.1022228966E-01
       286   -1.0104812493E-02   -4.4765967177E-03    1.0697129241E-01
       287   -1.0090431340E-02   -6.3464979880E-05    1.0672910503E-01
       288   -1.0042028631E-02    7.2950713764E-04    1.0779006806E-01
       289   -1.0000912785E-02   -1.8596208151E-03    1.0559853900E-01
       290   -9.9343282086E-03    8.1011739423E-04    1.1701635493E-01
       291   -9.9194683362E-03    1.7478139684E-03    1.1146946054E-01
       292   -9.8110636001E-03    1.9762197972E-04    1.0663677601E-01
       293   -9.7712413981E-03    1.6980309805E-03    1.1073059238E-01
       294   -9.6913965462E-03    1.1076096015E-03    1.0812051692E-01
       295   -9.6485183357E-03    1.5594906681E-03    1.0966503991E-01
       296   -9.5979671510E-03   -6.2930792144E-03    1.1334160716E-01
       297   -9.5432132543E-03   -3.9256038628E-03    1.0561802214E-01
